,Name,Age,Photo,Nationality,Flag,,Potential,Club,Club Logo,Value(£),,,,,,,,,,,
0,L. Goretzka,27,https://cdn.sofifa.net/players/209/658/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,88,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,91000000,,,,,,,,,,,
1,Bruno Fernandes,27,https://cdn.sofifa.net/players/212/198/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,87,Manchester United,https://cdn.sofifa.net/teams/11/30.png,78500000,,,,,,,,,,,
2,M. Acuña,30,https://cdn.sofifa.net/players/224/334/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,85,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,46500000,,,,,,,,,,,
3,K. De Bruyne,31,https://cdn.sofifa.net/players/192/985/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,,91,Manchester City,https://cdn.sofifa.net/teams/10/30.png,107500000,,,,,,,,,,,
4,N. Barella,25,https://cdn.sofifa.net/players/224/232/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,89,Inter,https://cdn.sofifa.net/teams/44/30.png,89500000,,,,,,,,,,,
5,J. Kimmich,27,https://cdn.sofifa.net/players/212/622/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,90,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,105500000,,,,,,,,,,,
6,D. Alaba,30,https://cdn.sofifa.net/players/197/445/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,,86,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,55500000,,,,,,,,,,,
7,22 Paulinho,32,https://cdn.sofifa.net/players/187/961/22_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,83,Al Ahli,https://cdn.sofifa.net/teams/112387/30.png,28500000,,,,,,,,,,,
8,E. Can,28,https://cdn.sofifa.net/players/208/333/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,82,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,30500000,,,,,,,,,,,
9,João Cancelo,28,https://cdn.sofifa.net/players/210/514/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,88,Manchester City,https://cdn.sofifa.net/teams/10/30.png,82500000,,,,,,,,,,,
10,L. Pellegrini,26,https://cdn.sofifa.net/players/228/251/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,87,Roma,https://cdn.sofifa.net/teams/52/30.png,55000000,,,,,,,,,,,
11,L. Modrić,36,https://cdn.sofifa.net/players/177/003/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,,88,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,29000000,,,,,,,,,,,
12,S. Milinković-Savić,27,https://cdn.sofifa.net/players/223/848/23_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,,87,Lazio,https://cdn.sofifa.net/teams/46/30.png,77500000,,,,,,,,,,,
13,Merino,26,https://cdn.sofifa.net/players/225/193/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,86,Real Sociedad,https://cdn.sofifa.net/teams/457/30.png,47000000,,,,,,,,,,,
