Name,Age,Overall,Club,Value(£),Age_Group,Overall_Group,Log_Value,Age_Rating,Cluster_Labels,playerId
L. Goretzka,0.8345933323468597,2.9405534192802336,FC Bayern München,11.25616722619294,26-30,81-90,2.2453276745265938,1.938783042737925,3,1
Bruno Fernandes,0.8345933323468597,2.816114033532632,Manchester United,9.661993727583145,26-30,81-90,2.177661898560869,1.87799866396659,3,2
M. Acuña,1.481188365508661,2.6916746477850304,Sevilla FC,5.580909571142069,31-35,81-90,1.9378627483514503,2.391288973591195,3,3
K. De Bruyne,1.6967200432292615,3.438310962270641,Manchester City,13.360476244357868,31-35,91-100,2.321635008916556,3.001384034592371,3,4
N. Barella,0.4035299769056588,2.816114033532632,Inter,11.064866406359764,26-30,81-90,2.2377162904188976,1.4907796584603088,3,5
J. Kimmich,0.8345933323468597,3.1894321907754373,FC Bayern München,13.105408484580302,26-30,81-90,2.3130349238845387,2.0603518002805945,3,6
D. Alaba,1.481188365508661,2.816114033532632,Real Madrid CF,6.7287144901411216,31-35,81-90,2.0188865851444144,2.4588271722260115,3,7
22 Paulinho,1.912251720949862,2.4427958762898268,Al Ahli,3.285299733143964,31-35,81-90,1.7136785148482288,2.62992394210088,2,8
E. Can,1.0501250100674602,2.318356490542225,Borussia Dortmund,3.5403674929215314,26-30,81-90,1.7447372663543632,1.8194655584830823,2,9
João Cancelo,1.0501250100674602,3.064992805027836,Manchester City,10.172129247138278,26-30,81-90,2.200421417836348,2.1976794708380547,3,10
L. Pellegrini,0.6190616546262593,2.5672352620374284,Roma,6.66494755019673,26-30,81-90,2.0147422938284576,1.567322950246434,3,11
L. Modrić,2.774378431832264,3.064992805027836,Real Madrid CF,3.349066673088356,36-40,81-90,1.721642907894816,3.782575865468415,2,12
S. Milinković-Savić,0.8345933323468597,2.816114033532632,Lazio,9.53445984769436,26-30,81-90,2.171790778816792,1.87799866396659,3,13
Merino,0.6190616546262593,2.4427958762898268,Real Sociedad,5.644676511086461,26-30,81-90,1.9427605604238096,1.5087898447629264,3,14
Marcos Llorente,0.8345933323468597,2.5672352620374284,Atlético de Madrid,5.7722103909752445,26-30,81-90,1.9524017810250107,1.7564299064239204,3,15
R. De Paul,1.0501250100674602,2.5672352620374284,Atlético de Madrid,5.007007111642543,26-30,81-90,1.8912522731333288,1.9455368626014065,2,16
I. Perišić,2.1277833986704624,2.5672352620374284,Tottenham Hotspur,3.030231973366397,31-35,81-90,1.6803590192699032,2.891071643488837,2,17
F. de Jong,0.4035299769056588,2.9405534192802336,FC Barcelona,14.50828116335692,26-30,81-90,2.3584536657044595,1.5470614906559892,3,18
A. Griezmann,1.6967200432292615,2.4427958762898268,Atlético de Madrid,3.5403674929215314,31-35,81-90,1.7447372663543632,2.443068259211221,2,19
J. Cuadrado,2.343315076391063,2.4427958762898268,Juventus,1.37229153481221,31-35,81-90,1.3714983675597678,3.003635307880198,2,20
F. Kostić,1.2656566877880606,2.6916746477850304,Eintracht Frankfurt,6.409879790419162,26-30,81-90,1.9977795744338207,2.199930744125882,3,21
T. Alexander-Arnold,-0.0275333785355421,2.9405534192802336,Liverpool,12.467739085136383,21-25,81-90,2.290800407941992,1.1553399385740537,3,22
L. Suárez,2.5588467541116637,2.5672352620374284,Club Nacional de Football,1.9461939943117363,36-40,81-90,1.5032397961004018,3.2692855558438096,2,23
A. Hakimi,-0.0275333785355421,2.5672352620374284,Paris Saint-Germain,6.473646730363554,21-25,81-90,2.0020795221266647,1.0000020817139756,3,24
M. Brozović,1.2656566877880606,2.816114033532632,Inter,7.047549189863081,26-30,81-90,2.0390634638035965,2.265217669472871,3,25
M. Salah,1.481188365508661,3.313871576523039,Liverpool,14.380747283468136,31-35,91-100,2.354505873416523,2.728979966765278,3,26
S. Tonali,-0.2430650562561425,2.5672352620374284,AC Milan,7.621451649362607,21-25,81-90,2.073282444179124,0.8108951255364896,3,27
Thiago,1.6967200432292615,2.816114033532632,Liverpool,6.7287144901411216,31-35,81-90,2.0188865851444144,2.6524366749791524,3,28
R. James,-0.2430650562561425,2.5672352620374284,Chelsea,6.920015309974297,21-25,81-90,2.0310990706184904,0.8108951255364896,3,29
Jordi Alba,2.1277833986704624,2.6916746477850304,FC Barcelona,3.2215327931995725,31-35,81-90,1.705573151801716,2.9653636619871357,2,30
T. Lemar,0.6190616546262593,2.4427958762898268,Atlético de Madrid,5.644676511086461,26-30,81-90,1.9427605604238096,1.5087898447629264,3,31
Renato Sanches,0.1879982991850583,2.069477719047021,Paris Saint-Germain,3.8592021926434894,21-25,81-90,1.780814264974638,0.9729868022600492,2,32
Canales,1.6967200432292615,2.5672352620374284,Real Betis Balompié,4.114269952421058,31-35,81-90,1.807759745914304,2.512857731133865,2,33
I. Bennacer,0.1879982991850583,2.318356490542225,AC Milan,4.751939351864976,21-25,81-90,1.8689092535334015,1.0810479200757557,2,34
Alex Telles,1.2656566877880606,2.069477719047021,Sevilla FC,2.009960934256128,26-30,81-90,1.5157869110591884,1.8734961173909357,2,35
R. Malinovskyi,1.2656566877880606,2.318356490542225,Atalanta,3.5403674929215314,26-30,81-90,1.7447372663543632,2.004069968084914,2,36
W. McKennie,-0.0275333785355421,2.069477719047021,Juventus,3.667901372810315,21-25,81-90,1.7595108397467578,0.7928849392338718,2,37
Casemiro,1.481188365508661,3.1894321907754373,Real Madrid CF,10.61849782674902,31-35,81-90,2.21944841259794,2.661441768130461,3,38
Angeliño,0.4035299769056588,2.4427958762898268,TSG Hoffenheim,5.007007111642543,26-30,81-90,1.8912522731333288,1.3219341618732676,2,39
F. Kessié,0.4035299769056588,2.5672352620374284,FC Barcelona,5.708443451030853,26-30,81-90,1.947606542825604,1.378215994068948,3,40
L. Digne,1.0501250100674602,2.318356490542225,Aston Villa,3.1577658532551807,26-30,81-90,1.6973217383503425,1.8194655584830823,2,41
R. Lewandowski,2.1277833986704624,3.438310962270641,FC Barcelona,10.363430066971452,31-35,91-100,2.208672831485965,3.411115772976924,3,42
22 A. Vidal,2.343315076391063,2.193917104794623,Inter,1.1809907149790346,31-35,81-90,1.3175606820376953,2.8505487243079477,2,43
N. De la Cruz,0.4035299769056588,1.8205989475518185,River Plate,1.754893174478561,26-30,71-80,1.4633937150473244,1.0405250008948657,2,44
C. Nkunku,0.1879982991850583,2.816114033532632,RB Leipzig,11.638768865859287,21-25,81-90,2.260181119356412,1.2971701557071682,3,45
K. Walker,1.912251720949862,2.6916746477850304,Manchester City,4.433104652143016,31-35,81-90,1.839354414659209,2.774005432521822,2,46
T. Hernández,0.1879982991850583,2.6916746477850304,AC Milan,9.343159027861184,21-25,81-90,2.1628405056310007,1.243139596799315,3,47
İ. Gündoğan,1.6967200432292615,2.6916746477850304,Manchester City,5.26207487142011,31-35,81-90,1.9125556985264112,2.5826472030565086,3,48
B. Bourigeaud,1.0501250100674602,2.193917104794623,Stade Rennais FC,2.966465033422005,26-30,81-90,1.671636068753363,1.7564299064239204,2,49
R. Gosens,0.8345933323468597,2.318356490542225,Inter,3.412833613032748,26-30,81-90,1.7294711507867857,1.6348611488812506,2,50
G. Wijnaldum,1.6967200432292615,2.069477719047021,Roma,1.8824270543673445,31-35,81-90,1.4903391951940184,2.23369984344329,2,51
C. Tolisso,0.8345933323468597,2.193917104794623,Olympique Lyonnais,3.1577658532551807,26-30,81-90,1.6973217383503425,1.574076770109916,2,52
H. Kane,1.0501250100674602,3.1894321907754373,Tottenham Hotspur,13.105408484580302,26-30,81-90,2.3130349238845387,2.2607151228972167,3,53
Koke,1.481188365508661,2.4427958762898268,Atlético de Madrid,4.050503012476666,31-35,81-90,1.8011705522320167,2.256212576321562,2,54
J. Tavernier,1.481188365508661,1.8205989475518185,Rangers FC,1.1809907149790346,31-35,71-80,1.3175606820376953,1.91852158314748,2,55
J. Henderson,1.912251720949862,2.4427958762898268,Liverpool,3.285299733143964,31-35,81-90,1.7136785148482288,2.62992394210088,2,56
L. Messi,2.5588467541116637,3.438310962270641,Paris Saint-Germain,6.537413670307946,36-40,91-100,2.006339469727229,3.820847511361477,3,57
M. Verratti,1.2656566877880606,2.9405534192802336,Paris Saint-Germain,9.53445984769436,26-30,81-90,2.171790778816792,2.3305045948198604,3,58
M. Uribe,1.6967200432292615,2.193917104794623,FC Porto,2.3287956339780878,31-35,81-90,1.573831720232371,2.3034893153659337,2,59
F. Valverde,-0.0275333785355421,2.5672352620374284,Real Madrid CF,8.06782022897335,21-25,81-90,2.0982348218404523,1.0000020817139756,3,60
S. Mané,1.481188365508661,3.1894321907754373,FC Bayern München,12.3402052052476,31-35,81-90,2.2862209590926907,2.661441768130461,3,61
L. Ocampos,0.8345933323468597,2.193917104794623,Sevilla FC,3.1577658532551807,26-30,81-90,1.6973217383503425,1.574076770109916,2,62
Lucas Paquetá,0.1879982991850583,2.318356490542225,Olympique Lyonnais,5.517142631197677,21-25,81-90,1.932911985934628,1.0810479200757557,3,63
Sergi Darder,1.0501250100674602,2.318356490542225,RCD Espanyol de Barcelona,3.5403674929215314,26-30,81-90,1.7447372663543632,1.8194655584830823,2,64
Y. Tielemans,0.4035299769056588,2.5672352620374284,Leicester City,6.34611285047477,26-30,81-90,1.9934388683362525,1.378215994068948,3,65
Fred,1.2656566877880606,2.069477719047021,Manchester United,2.2650286940336954,26-30,81-90,1.5627964621307884,1.8734961173909357,2,66
Bernardo Silva,0.8345933323468597,3.064992805027836,Manchester City,12.085137445470032,26-30,81-90,2.276922343808279,1.99956742150926,3,67
Grimaldo,0.6190616546262593,2.318356490542225,SL Benfica,4.305570772254233,26-30,81-90,1.82697687575121,1.450256739279419,2,68
Carlos Soler,0.4035299769056588,2.4427958762898268,Valencia CF,6.409879790419162,26-30,81-90,1.9977795744338207,1.3219341618732676,3,69
Diogo Jota,0.4035299769056588,2.6916746477850304,Liverpool,9.343159027861184,26-30,81-90,2.1628405056310007,1.4344978262646284,3,70
J. Bellingham,-0.889660089417944,2.5672352620374284,Borussia Dortmund,10.044595367249494,15-20,81-90,2.1948367014549706,0.243574257004031,3,71
G. Kondogbia,1.2656566877880606,2.318356490542225,Atlético de Madrid,3.412833613032748,26-30,81-90,1.7294711507867857,2.004069968084914,2,72
K. Trippier,1.6967200432292615,2.5672352620374284,Newcastle United,3.5403674929215314,31-35,81-90,1.7447372663543632,2.512857731133865,2,73
19 C. Marchisio,1.6967200432292615,2.5672352620374284,Juventus,2.137494814144912,31-35,81-90,1.5398946376033782,2.512857731133865,2,74
T. Delaney,1.481188365508661,2.193917104794623,Sevilla FC,2.3925625739224787,31-35,81-90,1.5846073009639967,2.121136179051929,2,75
K. Mbappé,-0.0275333785355421,3.438310962270641,Paris Saint-Germain,23.945788275126908,21-25,91-100,2.583651188392692,1.3624570810541574,3,76
S. Obisanya,-0.2430650562561425,2.193917104794623,AFC Richmond,6.34611285047477,21-25,81-90,1.9934388683362525,0.6623110885398933,3,77
Yuri Berchiche,1.912251720949862,2.318356490542225,Athletic Club de Bilbao,2.3287956339780878,31-35,81-90,1.573831720232371,2.557883196890409,2,78
J. Corona,1.2656566877880606,2.193917104794623,Sevilla FC,2.902698093477613,26-30,81-90,1.6627437300203394,1.938783042737925,2,79
L. Robertone,0.4035299769056588,1.5717201760566146,Unión Deportiva Almería,0.9896898951458593,26-30,71-80,1.256411178234772,0.9279613365035048,2,80
M. Sabitzer,1.0501250100674602,2.069477719047021,FC Bayern München,2.3287956339780878,26-30,81-90,1.573831720232371,1.6933942543647582,2,81
H. Çalhanoğlu,1.0501250100674602,2.5672352620374284,Inter,5.007007111642543,26-30,81-90,1.8912522731333288,1.9455368626014065,2,82
Rúben Neves,0.4035299769056588,2.4427958762898268,Wolverhampton Wanderers,5.708443451030853,26-30,81-90,1.947606542825604,1.3219341618732676,3,83
Ó. Trejo,2.343315076391063,1.94503833329942,Rayo Vallecano,0.6708551954239,31-35,71-80,1.1318815743352797,2.6974621407356967,2,84
K. Demirbay,1.0501250100674602,2.193917104794623,Bayer 04 Leverkusen,2.902698093477613,26-30,81-90,1.6627437300203394,1.7564299064239204,2,85
R. Guerreiro,1.0501250100674602,2.318356490542225,Borussia Dortmund,3.1577658532551807,26-30,81-90,1.6973217383503425,1.8194655584830823,2,86
A. Davies,-0.458596733976743,2.5672352620374284,FC Bayern München,7.366383889585039,21-25,81-90,2.0583887391053146,0.6217881693590034,3,87
D. Wass,2.1277833986704624,1.94503833329942,Atlético de Madrid,1.053456835090251,31-35,71-80,1.2777146021410342,2.5196115509973467,2,88
T. Koopmeiners,0.1879982991850583,2.069477719047021,Atalanta,3.4766005529771395,21-25,81-90,1.7371678203285543,0.9729868022600492,2,89
J. Veretout,1.2656566877880606,1.94503833329942,Olympique de Marseille,1.5635923546453854,26-30,71-80,1.41974727178894,1.8082091920439465,2,90
P. Pogba,1.2656566877880606,2.6916746477850304,Juventus,6.34611285047477,26-30,81-90,1.9934388683362525,2.199930744125882,3,91
Jesús Navas,2.774378431832264,2.4427958762898268,Sevilla FC,0.6708551954239,36-40,81-90,1.1318815743352797,3.377346673659516,2,92
Ricardo Pereira,1.0501250100674602,2.4427958762898268,Leicester City,3.8592021926434894,26-30,81-90,1.780814264974638,1.8825012105422445,2,93
Fabinho,1.0501250100674602,2.9405534192802336,Liverpool,9.470692907749967,26-30,81-90,2.16882674861566,2.1346438187788928,3,94
Saúl,0.8345933323468597,2.069477719047021,Atlético de Madrid,2.711397273644438,26-30,81-90,1.6349812267611334,1.513292391338581,2,95
L. Martínez,0.1879982991850583,2.816114033532632,Inter,12.212671325358816,21-25,81-90,2.2815952524020866,1.2971701557071682,3,96
Parejo,2.1277833986704624,2.816114033532632,Villarreal CF,5.007007111642543,31-35,81-90,1.8912522731333288,3.0396556804854336,2,97
G. Lo Celso,0.6190616546262593,2.193917104794623,Tottenham Hotspur,3.667901372810315,26-30,81-90,1.7595108397467578,1.3917236337959114,2,98
Roberto Firmino,1.481188365508661,2.4427958762898268,Liverpool,4.17803689236545,31-35,81-90,1.814255472702276,2.256212576321562,2,99
C. Biraghi,1.2656566877880606,2.069477719047021,Fiorentina,2.009960934256128,26-30,81-90,1.5157869110591884,1.8734961173909357,2,100
Cristiano Ronaldo,2.989910109552864,3.313871576523039,Manchester United,4.879473231753759,36-40,91-100,1.880217014765809,4.147282138096424,2,101
F. Mendy,0.8345933323468597,2.4427958762898268,Real Madrid CF,4.496871592087408,26-30,81-90,1.8454199478522249,1.6956455276525857,2,102
Neymar Jr,1.481188365508661,3.1894321907754373,Paris Saint-Germain,12.3402052052476,31-35,81-90,2.2862209590926907,2.661441768130461,3,103
